aptDong,aptNm,aptSeq,bonbun,bubun,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landCd,landLeaseholdGbn,rgstDate,roadNm,roadNmBonbun,roadNmBubun,roadNmCd,roadNmSeq,roadNmSggCd,roadNmbCd,sggCd,slerGbn,umdCd,umdNm
101,종로청계힐스테이트,11110-2234,0766,0000,2009,개인, , ,"84,500",1,9,2025,중개거래,서울 종로구,59.9426,4,766,1,N,25.11.28,숭인동길,00021,00000,4100204,01,11110,0,11110,개인,17500,숭인동
206,창신쌍용2,11110-91,0703,0000,1993,개인, , ,"83,000",23,9,2025,중개거래,서울 영등포구,115.53,4,703,1,N,25.12.30,낙산길,00198,00000,4100020,02,11110,0,11110,개인,17400,창신동
105,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인, , ,"205,000",3,9,2025,중개거래,서울 종로구,160.85,1,9,1,N,25.11.28,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동
403,경희궁자이(4단지),11110-2464,0126,0000,2017,개인, , ,"65,000",24,9,2025,직거래, ,37.2635,4,126,1,N,25.11.10,송월길,00155,00000,4100192,01,11110, ,11110,개인,18000,교북동
104,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인, , ,"210,000",24,9,2025,중개거래,"경기 성남시 분당구, 서울 종로구",146.92,3,9,1,N,25.12.19,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동
제103,아남1,11110-25,0004,0000,1995,개인, , ,"130,000",30,9,2025,중개거래,서울 종로구,84.9,11,4,1,N,26.01.15,창경궁로,00265,00000,3005008,07,11110,0,11110,개인,17100,명륜2가
제101,아남1,11110-25,0004,0000,1995,개인, , ,"128,000",28,9,2025,중개거래,서울 종로구,84.9,18,4,1,N,26.01.23,창경궁로,00265,00000,3005008,07,11110,0,11110,개인,17100,명륜2가
103,두산,11110-34,0232,0000,1999,개인, , ,"82,000",27,9,2025,중개거래,서울 종로구,59.95,4,232,1,N,25.12.30,지봉로5길,00007,00000,4100390,01,11110,0,11110,개인,17400,창신동
101,광화문스페이스본(101동~105동),11110-2203,0009,0000,2008,개인, , ,"163,000",30,9,2025,중개거래,서울 종로구,94.28,8,9,1,N,26.01.28,사직로8길,00004,00000,4100135,03,11110,0,11110,개인,11500,사직동
101동,힐스테이트창경궁,11110-2584,0060,0000,2022,개인, , ,"135,855",16,9,2025,직거래, ,84.96,5,60,1,N,25.10.15,율곡로,00236,00000,3100010,00,11110,0,11110,개인,16700,충신동
